PMID	Title	Countries	Affiliation_Count
23147727	Pharmacokinetic-pharmacodynamic modeling of unboosted Atazanavir in a cohort of stable HIV-infected ...	France	1
23147728	First detection of oqxAB in Salmonella spp. isolated from food.	Other	1
23147729	Coordinate hyperproduction of SmeZ and SmeJK efflux pumps extends drug resistance in Stenotrophomona...	United Kingdom	1
23147731	Thymidine analogues suppress autophagy and adipogenesis in cultured adipocytes.	Germany	1
23147730	Azole susceptibility and transcriptome profiling in Candida albicans mitochondrial electron transpor...	United States	1
23147733	Colistin methanesulfonate and colistin pharmacokinetics in critically ill patients receiving continu...	Sweden	1
23147732	Effects of obesity and sex on antimicrobial pharmacokinetics and acute kidney injury: validation of ...	United States	1
23147734	A rationally engineered anti-HIV peptide fusion inhibitor with greatly reduced immunogenicity.	Germany	1
23147735	Novel carbapenem antibiotics for parenteral and oral applications: in vitro and in vivo activities o...	Japan	1
23147736	A simple high-performance liquid chromatography method for simultaneous determination of three triaz...	Other	1
23147737	Emergence and spread of plasmid-borne tet(B)::ISCR2 in minocycline-resistant Acinetobacter baumannii...	Argentina	1
23147738	Mupirocin and chlorhexidine resistance in Staphylococcus aureus in patients with community-onset ski...	United States	1
23147739	Inhibition of Streptococcus pneumoniae penicillin-binding protein 2x and Actinomadura R39 DD-peptida...	Belgium	1
23147740	Posaconazole pharmacodynamic target determination against wild-type and Cyp51 mutant isolates of Asp...	United States	1
23147741	Efficacy of liposomal bismuth-ethanedithiol-loaded tobramycin after intratracheal administration in ...	Canada	1
23147743	Case-control study of drug monitoring of β-lactams in obese critically ill patients.	Belgium	1
23147744	Straightforward iron-catalyzed synthesis of vinylboronates by the hydroboration of alkynes.	Germany	1
23147742	Vancomycin treatment's association with delayed intestinal tissue injury, clostridial overgrowth, an...	United States	1
23147747	First synthesis of (+)-myrrhanol C, an anti-prostate cancer lead.	Spain	1
23147746	Glycated albumin, not hemoglobin A1c, predicts cardiovascular hospitalization and length of stay in ...	United States	1
23147745	Mental disorders associated with driving under the influence of alcohol and/or drugs: a register-bas...	Finland	1
23147750	Assessing causation of the extirpation of stream macroinvertebrates by a mixture of ions.	United States	1
23147748	Accidental cannulation of the ascending lumbar vein during placement of an endovascular femoral veno...	No Affiliation Info	0
23147751	Virtual ligand-based screening reveals purmorphamine analogs with the capacity to induce the osteoge...	Sweden	1
23147753	Caring burden and associated factors of care providers for senile dementia patients in an urban-rura...	China	1
23147754	Anti-angiogenic activity of Herba Epimedii on zebrafish embryos in vivo and HUVECs in vitro.	China	1
23147752	K(+) , Na(+) , and Mg(2+)  on DNA translocation in silicon nitride nanopores.	United States	1
23147749	Massively calcified intravascular cast after removal of a tunneled central vein catheter for hemodia...	Italy	1
23147755	Entecavir and intermittent etanercept therapy in a patient with concurrent hepatitis B virus infecti...	No Affiliation Info	0
